用户id,昵称,性别,生日,所在地,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息
6553478705,腾讯招聘,f,,广东,257,14748,53,,https://m.weibo.cn/u/6553478705?uid=6553478705&luicode=10000011&lfid=1005056553478705,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0079vJbrly8gf4okme670j30u00u00u6.jpg?KID=imgbed,tva&Expires=1610571513&ssig=db2efDVO5w",https://wx4.sinaimg.cn/orj480/0079vJbrly8gf4okme670j30u00u00u6.jpg,4,0,TRUE,2,腾讯公司校园招聘官方微博
6524337592,腾讯极光,m,,其他,5153,1192879,420,,https://m.weibo.cn/u/6524337592?uid=6524337592&luicode=10000011&lfid=1005056524337592,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/0077xsfuly1gdiovvao1pj30u00u03zy.jpg?KID=imgbed,tva&Expires=1610571516&ssig=ycY3ZhDsWU",https://wx2.sinaimg.cn/orj480/0077xsfuly1gdiovvao1pj30u00u03zy.jpg,9,5,TRUE,2,腾讯极光盒子/快投/投影官方微博
2617840625,腾讯房产官博,m,,北京 海淀区,1018,70242,295,第一时间提供楼市快讯，掌握房地产动向；纵览全国最新楼盘，足不出户查看最新楼盘资料，依托QQ购房群亿万用户，尽享安家置业无限优惠，打造购房置业第一平台。,https://m.weibo.cn/u/2617840625?uid=2617840625&luicode=10000011&lfid=1005052617840625,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/9c0913f1jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1610571595&ssig=8TNbc19FcO",https://ww1.sinaimg.cn/orj480/9c0913f1jw1e8qgp5bmzyj2050050aa8.jpg,11,0,TRUE,5,腾讯房产house.qq.com官方微博
5102795808,腾讯益行家,m,,北京 海淀区,148,44938,58,益行家官方网站 yxj.qq.com,https://m.weibo.cn/u/5102795808?uid=5102795808&luicode=10000011&lfid=1005055102795808,"https://tva3.sinaimg.cn/crop.0.0.473.473.180/005zkOicjw8es9iu6ftt5j30dc0d5gmc.jpg?KID=imgbed,tva&Expires=1610571597&ssig=fyF0Wdopqj",https://ww3.sinaimg.cn/orj480/005zkOicjw8es9iu6ftt5j30dc0d5gmc.jpg,10,0,TRUE,7,腾讯公益慈善基金会益行家项目官方微博
1363173330,腾讯安全应急响应中心,m,,广东 深圳,1516,13428,210,腾讯安全应急响应中心（Tencent Security Response Center，以下简写作TSRC)是隶属于腾讯安全中心的专门负责处理腾讯公司产品和业务安全问题的组织机构。 如果您发现腾讯公司产品和业务的安全漏洞或者安全问题，请第一时间报告漏洞给我们，我们会有专人跟进。在漏洞未修复前，请不要公开和传播。每隔一段时间，TSRC会按照“漏洞奖励计划”回馈热心用户。报告漏洞请移步：http://security.tencent.com,https://m.weibo.cn/u/1363173330?uid=1363173330&luicode=10000011&lfid=1005051363173330,"https://tvax3.sinaimg.cn/crop.0.0.200.200.180/51405fd2ly8gdkdjw3y38j205k05k3yb.jpg?KID=imgbed,tva&Expires=1610571599&ssig=V3Xs9xgaaV",https://wx3.sinaimg.cn/orj480/51405fd2ly8gdkdjw3y38j205k05k3yb.jpg,25,0,TRUE,2,腾讯安全应急响应中心官方微博
6383242864,腾讯家居,m,,北京,1022,268555,80,家居装修装饰时尚门户,https://m.weibo.cn/u/6383242864?uid=6383242864&luicode=10000011&lfid=1005056383242864,"https://tvax3.sinaimg.cn/crop.16.41.358.358.180/006XZr44ly8g3bcoqyww8j30b40b4my9.jpg?KID=imgbed,tva&Expires=1610571601&ssig=xhSFhBGB8T",https://wx3.sinaimg.cn/orj480/006XZr44ly8g3bcoqyww8j30b40b4my9.jpg,4,2,TRUE,3,腾讯家居（www.jia360.com）官方微博
5174457807,腾讯云,m,,广东,659,28177,97,腾讯云官方微博,https://m.weibo.cn/u/5174457807?uid=5174457807&luicode=10000011&lfid=1005055174457807,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/005EbuQTly8gdkadd7mvij30e80e8jrk.jpg?KID=imgbed,tva&Expires=1610571602&ssig=qwCZak7axg",https://wx3.sinaimg.cn/orj480/005EbuQTly8gdkadd7mvij30e80e8jrk.jpg,4,4,TRUE,2,腾讯云官方微博
6530888446,腾讯王卡,f,,其他,177,13314,75,,https://m.weibo.cn/u/6530888446?uid=6530888446&luicode=10000011&lfid=1005056530888446,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/0077YWqqly8gdiprkvjnmj30u00u0t9t.jpg?KID=imgbed,tva&Expires=1610571605&ssig=MEGZ3tR%2Bq8",https://wx3.sinaimg.cn/orj480/0077YWqqly8gdiprkvjnmj30u00u0t9t.jpg,9,6,TRUE,2,中国联通腾讯王卡官方微博
5977015783,腾讯企鹅辅导,m,,广东,4004,46288,259,企鹅辅导，腾讯旗下一款针对中小学生的在线教育产品！,https://m.weibo.cn/u/5977015783?uid=5977015783&luicode=10000011&lfid=1005055977015783,"https://tvax2.sinaimg.cn/crop.0.0.800.800.180/006wuWQnly8gh4g7v4prvj30m80m80yp.jpg?KID=imgbed,tva&Expires=1610571608&ssig=Koj%2FhK2fvo",https://wx2.sinaimg.cn/orj480/006wuWQnly8gh4g7v4prvj30m80m80yp.jpg,32,5,TRUE,2,腾讯企鹅辅导官方微博
5619439268,腾讯QQ钱包,m,,广东,404,127271,58,交易相关问题，请拨打客服电话0755-86013860,https://m.weibo.cn/u/5619439268?uid=5619439268&luicode=10000011&lfid=1005055619439268,"https://tva1.sinaimg.cn/crop.219.144.555.555.180/0068iARejw8esk724mra6j30rs0rstap.jpg?KID=imgbed,tva&Expires=1610571616&ssig=Vpr5boeeFQ",https://ww1.sinaimg.cn/orj480/0068iARejw8esk724mra6j30rs0rstap.jpg,9,0,TRUE,2,深圳市腾讯计算机系统有限公司
6383393911,腾讯手游助手,m,,广东,880,38157,126,腾讯手游助手是一款可以在电脑上玩手机游戏的软件，通过电脑模拟安卓手机系统，满足用户在电脑上玩手机游戏的需求。腾讯手游助手采用独家傲引擎技术，游戏启动性能提升400%，告别玩游戏卡顿困扰！,https://m.weibo.cn/u/6383393911?uid=6383393911&luicode=10000011&lfid=1005056383393911,"https://tvax3.sinaimg.cn/crop.0.0.100.100.180/006Y04mjly8gdi6i6ey8mj302s02st8q.jpg?KID=imgbed,tva&Expires=1610571618&ssig=Z%2FIw45z1Td",https://wx3.sinaimg.cn/orj480/006Y04mjly8gdi6i6ey8mj302s02st8q.jpg,4,6,TRUE,7,腾讯手游助手官方微博
6391851655,腾讯母婴,f,,北京,483,97422,112,腾讯视频母婴&amp;火锅视频母婴 官方微博,https://m.weibo.cn/u/6391851655?uid=6391851655&luicode=10000011&lfid=1005056391851655,"https://tvax1.sinaimg.cn/crop.0.0.667.667.180/006YzyBxly8g0763duvhkj30ij0ij753.jpg?KID=imgbed,tva&Expires=1610571662&ssig=lZBvQrfV5c",https://wx1.sinaimg.cn/orj480/006YzyBxly8g0763duvhkj30ij0ij753.jpg,14,0,TRUE,2,腾讯视频育儿频道 官方微博
2426883100,腾讯MacQQ产品团队,m,,广东 深圳,545,7868,74,"&lt;QQ for Mac 热点问题回复(1)&gt;正式发布
你们的声音，我们一直在聆听
http://t.cn/zWdGdPK",https://m.weibo.cn/u/2426883100?uid=2426883100&luicode=10000011&lfid=1005052426883100,"https://tva3.sinaimg.cn/crop.49.38.372.372.180/90a74c1cjw1f540b5wa89j20d70ct0t0.jpg?KID=imgbed,tva&Expires=1610571664&ssig=PyJwOCPkhf",https://ww3.sinaimg.cn/orj480/90a74c1cjw1f540b5wa89j20d70ct0t0.jpg,16,0,TRUE,2,腾讯公司Mac OS X平台下的QQ产品团队
5178832047,全民K歌,m,,广东 深圳,6294,4549224,366,全民k歌是一款由腾讯出品的k歌软件，具有智能打分、专业混音、好友擂台、趣味互动及社交分享功能。,https://m.weibo.cn/u/5178832047?uid=5178832047&luicode=10000011&lfid=1005055178832047,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.180/005EtQN9ly8gdwwcgysujg30sg0sgn02.gif?KID=imgbed,tva&Expires=1610571666&ssig=1opjBcjKnp",https://wx2.sinaimg.cn/orj480/005EtQN9ly8gdwwcgysujg30sg0sgn02.gif,43,6,TRUE,2,全民K歌，腾讯出品，K歌软件中的PS，你其实很会唱歌！
2255423004,腾讯开放,m,,广东 深圳,819,242160,799,1、“中国互联网创新创业大赛”正式开赛，报名地址：http://2013contest.open.qq.com 2、开发者在线咨询（应用接入，技术咨询，商务咨询等开发者服务 ）请联系企业QQ：800013811,https://m.weibo.cn/u/2255423004?uid=2255423004&luicode=10000011&lfid=1005052255423004,"https://tva3.sinaimg.cn/crop.0.0.180.180.180/866f061cjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1610571710&ssig=Oi9OKER2GQ",https://ww3.sinaimg.cn/orj480/866f061cjw1e8qgp5bmzyj2050050aa8.jpg,20,1,TRUE,2,腾讯开放平台官方微博
5949813041,腾讯视频直播汪,f,,北京,1906,9249,103,腾讯体育直播组官方互动调戏账号！,https://m.weibo.cn/u/5949813041?uid=5949813041&luicode=10000011&lfid=1005055949813041,"https://tvax3.sinaimg.cn/crop.90.84.894.894.180/006uEOatly8fow8m4lgbqj30u00u017f.jpg?KID=imgbed,tva&Expires=1610571712&ssig=QdNJd53Y3r",https://wx3.sinaimg.cn/orj480/006uEOatly8fow8m4lgbqj30u00u017f.jpg,14,0,TRUE,2,腾讯科技（北京）有限公司
2671991533,腾讯QQ安全中心,f,,广东 深圳,770,21860,110,官方网站：http://aq.qq.com/ 小安是大家的贴心安全小助手，有什么安全问题大家都可以跟我说说哦~,https://m.weibo.cn/u/2671991533?uid=2671991533&luicode=10000011&lfid=1005052671991533,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/9f435aedly8gdionlm76zj20u00u0dgo.jpg?KID=imgbed,tva&Expires=1610571716&ssig=VpGFdXMLbD",https://wx2.sinaimg.cn/orj480/9f435aedly8gdionlm76zj20u00u0dgo.jpg,17,1,TRUE,2,腾讯QQ安全中心官方微博
6279793619,腾讯财经,m,,北京,8164,15679,426,腾讯新闻旗下腾讯财经官方账号，在这里读懂财经！,https://m.weibo.cn/u/6279793619?uid=6279793619&luicode=10000011&lfid=1005056279793619,"https://tvax4.sinaimg.cn/crop.0.0.372.372.180/006QZnbRly1gdiz0s0g3xj30ac0acmx4.jpg?KID=imgbed,tva&Expires=1610571717&ssig=c2PHHc%2FXN%2B",https://wx4.sinaimg.cn/orj480/006QZnbRly1gdiz0s0g3xj30ac0acmx4.jpg,9,0,TRUE,3,腾讯科技（北京）有限公司
6461143362,腾讯医疗健康,m,,,401,17139,42,,https://m.weibo.cn/u/6461143362?uid=6461143362&luicode=10000011&lfid=1005056461143362,"https://tvax4.sinaimg.cn/crop.24.0.188.188.180/0073gixIly8fv6r2b5sexj3063058q2w.jpg?KID=imgbed,tva&Expires=1610571719&ssig=lmNHl7a%2F3U",https://wx4.sinaimg.cn/orj480/0073gixIly8fv6r2b5sexj3063058q2w.jpg,4,0,TRUE,2,腾讯医疗健康官方微博
6933870699,腾讯艺术,f,,北京 海淀区,1267,17453,356,腾讯艺术致力于构建互联网+艺术生态，以平台力赋能艺术产业，探索线下艺术内容线上化的多种模式；引入包含古典音乐、歌剧、舞蹈、戏曲、绘画、装置艺术、行为艺术等多重门类的艺术内容。,https://m.weibo.cn/u/6933870699?uid=6933870699&luicode=10000011&lfid=1005056933870699,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/007zfOwbly8gdi88ff09aj30u00u0q3s.jpg?KID=imgbed,tva&Expires=1610571722&ssig=zr6dwzioyi",https://wx2.sinaimg.cn/orj480/007zfOwbly8gdi88ff09aj30u00u0q3s.jpg,12,4,TRUE,2,腾讯视频艺术频道官方微博
7481816699,腾讯游戏手机,f,,其他,153,33272,94,腾讯游戏硬件官方团队，为极致游戏硬件发烧！懂玩家，立志打造体验最好的游戏手机！,https://m.weibo.cn/u/7481816699?uid=7481816699&luicode=10000011&lfid=1005057481816699,"https://tvax3.sinaimg.cn/crop.1.0.698.698.180/008akWiTly8ggu00sqrmxj30jg0jg0sz.jpg?KID=imgbed,tva&Expires=1610571747&ssig=alGG6SSkiv",https://wx3.sinaimg.cn/orj480/008akWiTly8ggu00sqrmxj30jg0jg0sz.jpg,0,1,TRUE,2,腾讯游戏硬件官方团队
